id,partnerid,sessionid,males,females,ageyo,sex,impfa,impba,impku,impam,impin,impcr,impco,imphp,impha,gfattrac,gbattrac,goattrac,gintelligent,gconfident,gkindunder,gambitious,gfunny,gcreative,gpercfunny,prefa,preba,preku,pream,prein,preco,precr,prehp,preha
14000062,14001064,1406,4,4,17.91666667,M,6,5,6,5,6,NA,NA,NA,NA,3,5,5,6,6,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000063,14001061,1406,4,4,17.58333333,M,5,3,6,4,7,NA,NA,NA,NA,2,3,3,5,7,7,7,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000063,14001062,1406,4,4,17.58333333,M,5,3,6,4,7,NA,NA,NA,NA,5,4,6,6,7,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000063,14001063,1406,4,4,17.58333333,M,5,3,6,4,7,NA,NA,NA,NA,6,4,5,6,7,3,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000063,14001064,1406,4,4,17.58333333,M,5,3,6,4,7,NA,NA,NA,NA,2,5,4,5,4,5,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000064,14001061,1406,4,4,22.33333333,M,6,6,6,6,6,NA,NA,NA,NA,5,5,5,6,6,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000064,14001062,1406,4,4,22.33333333,M,6,6,6,6,6,NA,NA,NA,NA,5,4,5,5,4,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000064,14001063,1406,4,4,22.33333333,M,6,6,6,6,6,NA,NA,NA,NA,6,6,6,6,6,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000064,14001064,1406,4,4,22.33333333,M,6,6,6,6,6,NA,NA,NA,NA,5,5,5,5,5,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000071,14001071,1407,4,3,18,M,7,7,6,5,5,NA,NA,NA,NA,1,1,1,5,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000071,14001072,1407,4,3,18,M,7,7,6,5,5,NA,NA,NA,NA,1,1,2,6,4,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000071,14001073,1407,4,3,18,M,7,7,6,5,5,NA,NA,NA,NA,5,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000072,14001071,1407,4,3,17.75,M,7,7,7,6,7,NA,NA,NA,NA,4,3,4,5,4,6,3,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000072,14001072,1407,4,3,17.75,M,7,7,7,6,7,NA,NA,NA,NA,4,4,3,5,3,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000072,14001073,1407,4,3,17.75,M,7,7,7,6,7,NA,NA,NA,NA,5,6,6,7,7,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000073,14001071,1407,4,3,17.91666667,M,5,6,7,5,6,NA,NA,NA,NA,3,4,4,5,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000073,14001072,1407,4,3,17.91666667,M,5,6,7,5,6,NA,NA,NA,NA,2,3,4,5,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000073,14001073,1407,4,3,17.91666667,M,5,6,7,5,6,NA,NA,NA,NA,6,6,6,6,6,4,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000074,14001071,1407,4,3,17.5,M,2,4,6,1,6,NA,NA,NA,NA,3,4,5,7,7,7,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000074,14001072,1407,4,3,17.5,M,2,4,6,1,6,NA,NA,NA,NA,4,6,4,5,5,6,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000074,14001073,1407,4,3,17.5,M,2,4,6,1,6,NA,NA,NA,NA,5,6,6,7,7,7,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000081,14001081,1408,4,4,20.66666667,M,5,5,7,5,7,NA,NA,NA,NA,5,5,6,6,6,4,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000081,14001082,1408,4,4,20.66666667,M,5,5,7,5,7,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000081,14001083,1408,4,4,20.66666667,M,5,5,7,5,7,NA,NA,NA,NA,5,5,6,6,6,6,7,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000081,14001084,1408,4,4,20.66666667,M,5,5,7,5,7,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000082,14001081,1408,4,4,20.75,M,5,4,7,4,6,NA,NA,NA,NA,4,5,5,6,6,5,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000082,14001082,1408,4,4,20.75,M,5,4,7,4,6,NA,NA,NA,NA,5,4,4,4,6,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000082,14001083,1408,4,4,20.75,M,5,4,7,4,6,NA,NA,NA,NA,5,6,5,6,7,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000082,14001084,1408,4,4,20.75,M,5,4,7,4,6,NA,NA,NA,NA,6,4,6,6,5,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000083,14001081,1408,4,4,18,M,6,6,6,5,5,NA,NA,NA,NA,5,5,5,6,6,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000083,14001082,1408,4,4,18,M,6,6,6,5,5,NA,NA,NA,NA,3,3,3,4,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000083,14001083,1408,4,4,18,M,6,6,6,5,5,NA,NA,NA,NA,2,2,2,5,5,4,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000083,14001084,1408,4,4,18,M,6,6,6,5,5,NA,NA,NA,NA,3,3,3,6,6,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000084,14001081,1408,4,4,23.75,M,5,5,5,5,6,NA,NA,NA,NA,7,7,7,6,6,6,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000084,14001082,1408,4,4,23.75,M,5,5,5,5,6,NA,NA,NA,NA,5,6,5,5,5,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000084,14001083,1408,4,4,23.75,M,5,5,5,5,6,NA,NA,NA,NA,4,4,4,6,7,5,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000084,14001084,1408,4,4,23.75,M,5,5,5,5,6,NA,NA,NA,NA,5,5,5,6,4,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000091,14001092,1409,2,2,19.91666667,M,5,5,6,5,3,NA,NA,NA,NA,5,5,5,5,5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000091,14001094,1409,2,2,19.91666667,M,5,5,6,5,3,NA,NA,NA,NA,4,5,5,6,4,4,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000092,14001092,1409,2,2,18.33333333,M,6,5,6,2,6,NA,NA,NA,NA,4,3,3,6,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
